system:index,Average_Temp,County,Elevation,Humidity,Land_Cover,Max_Temp,Min_Temp,Month,Precipitation,SubCounty,Vegetation_NDVI,Year,.geo
2_0000000000000000009c,22.589918279284216,Siaya,1197.3269640329625,78.85176197621003,26.743984549651426,24.65571641506572,21.274228499206426,3.0,222.49460381877094,Bondo Sub County,0.7142106765698403,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000000be,21.574717428417976,Siaya,1235.727823955939,81.61149800762567,23.04704277304768,23.598334825403878,20.343868248786936,3.0,320.7602679180234,Ugenya Sub County,0.709647359212753,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000000e6,21.823261263378512,Siaya,1231.7746084142395,81.38502512370239,29.03974110032362,23.838134892871945,20.641554984795288,3.0,278.23711726192363,Alego Usonga Sub County,0.706007585113269,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000044,23.317791023999465,Siaya,1201.0864409909516,78.03991955619354,30.013801012722208,24.6280153560552,21.768047265851713,4.0,179.97296199583684,Rarieda Sub County,0.7336061953912394,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000070,21.6833661442864,Siaya,1354.955211174957,81.61453438339657,21.78865091802582,22.69121767227189,20.41417960880001,4.0,270.1390669669924,Gem Sub County,0.7836893014684555,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0000000000000000007c,21.587674816364537,Siaya,1257.2314975133545,82.71862237000346,23.863879167434156,22.517330518122822,20.260702197775874,4.0,257.9964385458594,Ugunja Sub County,0.7694836028734574,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0000000000000000009c,23.07426104898771,Siaya,1197.3269640329625,79.33601800371326,26.743984549651426,24.305411465562354,21.56717056074467,4.0,176.77902070862433,Bondo Sub County,0.7565304552314879,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000000000000000000be,21.829633482278243,Siaya,1235.727823955939,82.9792847564252,23.04704277304768,22.768274508460475,20.44390528313721,4.0,251.78911738255215,Ugenya Sub County,0.7706518241075262,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000000000000000000e6,22.174676794417774,Siaya,1231.7746084142395,82.5463135475147,29.03974110032362,23.185940740941184,20.849649334636975,4.0,220.40097996508177,Alego Usonga Sub County,0.7492225126213595,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000044,23.2453111538382,Siaya,1201.0864409909516,76.94340254848004,30.013801012722208,24.418432484315215,21.770993538831096,5.0,104.81504438935157,Rarieda Sub County,0.6883916600252697,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
