system:index,Average_Temp,County,Elevation,Humidity,Land_Cover,Max_Temp,Min_Temp,Month,Precipitation,SubCounty,Vegetation_NDVI,Year,.geo
0_00000000000000000044,22.88358012388885,Siaya,1201.0864409909516,78.74914651982917,30.013801012722208,24.42153072780394,21.14500134957752,1.0,109.90041438884259,Rarieda Sub County,0.6751943663752445,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000070,21.456622840023932,Siaya,1354.955211174957,80.97395785102134,21.78865091802582,22.991402800316674,19.750418536922624,1.0,145.56534005355155,Gem Sub County,0.7467182976377045,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000007c,21.53030668968908,Siaya,1257.2314975133545,81.23265889630026,23.863879167434156,23.099959347511188,19.547014743202748,1.0,140.64381954261543,Ugunja Sub County,0.7205690513906797,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000009c,22.76091627449333,Siaya,1197.3269640329625,79.30503650273282,26.743984549651426,24.27295575938857,20.97429434896821,1.0,102.92435498089814,Bondo Sub County,0.6966115929994039,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000be,21.795603021372383,Siaya,1235.727823955939,81.55083688618171,23.04704277304768,23.31290004061341,19.80862447873051,1.0,146.88397382504448,Ugenya Sub County,0.7273480520957017,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000e6,21.98122472768061,Siaya,1231.7746084142395,81.7508067575579,29.03974110032362,23.45640125640904,20.06283359615641,1.0,123.76353266840995,Alego Usonga Sub County,0.7151181957928803,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000044,24.101064332795545,Siaya,1201.0864409909516,74.27605867287096,30.013801012722208,26.38217314017809,22.31555941634441,2.0,121.95759348582871,Rarieda Sub County,0.6331498835305355,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000070,22.480615356638218,Siaya,1354.955211174957,76.7334174686222,21.78865091802582,24.65112197358075,20.96783819791926,2.0,165.0553804591281,Gem Sub County,0.7142337512333861,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000007c,22.488724885160607,Siaya,1257.2314975133545,77.11904055999686,23.863879167434156,24.676774811898447,20.875263111360233,2.0,167.7901284835773,Ugunja Sub County,0.6958374111254376,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000009c,23.843848016714848,Siaya,1197.3269640329625,75.58655378928582,26.743984549651426,26.009813725201994,22.08669860869835,2.0,119.25778764596771,Bondo Sub County,0.652003546570865,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000000be,22.701081115978635,Siaya,1235.727823955939,77.981457391873,23.04704277304768,24.81381305993895,21.062897426307554,2.0,171.28252548535482,Ugenya Sub County,0.7061142366286854,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000000e6,22.962399714922288,Siaya,1231.7746084142395,78.01297473405513,29.03974110032362,25.0939951672928,21.366133762021953,2.0,135.78857840193746,Alego Usonga Sub County,0.6815723278317156,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000044,24.94739740415155,Siaya,1201.0864409909516,70.70379569657649,30.013801012722208,26.679370351104456,23.31680621140774,3.0,114.46965813427768,Rarieda Sub County,0.5746660331730911,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000070,23.240186753627682,Siaya,1354.955211174957,72.61558703873105,21.78865091802582,24.80966520311965,22.10837265828981,3.0,142.6850053349087,Gem Sub County,0.6633382828370772,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000007c,23.15473785900711,Siaya,1257.2314975133545,73.47892644301635,23.863879167434156,24.573350538440124,22.037218166877647,3.0,140.60149127305561,Ugunja Sub County,0.6608183339473205,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000009c,24.597609464330937,Siaya,1197.3269640329625,72.8406117097129,26.743984549651426,26.187867850908546,22.965219242363293,3.0,96.55769712239275,Bondo Sub County,0.6070303122146189,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000000be,23.332885855427573,Siaya,1235.727823955939,74.96638266440169,23.04704277304768,24.64333239917316,22.07436273939184,3.0,133.01781356956013,Ugenya Sub County,0.683287821808444,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
