system:index,Average_Temp,County,Elevation,Humidity,Land_Cover,Max_Temp,Min_Temp,Month,Precipitation,SubCounty,Vegetation_NDVI,Year,.geo
0_00000000000000000044,23.70627603597469,Siaya,1201.0864409909516,64.51828983168126,30.013801012722208,25.21505511333253,21.879351623635337,1.0,24.485641025778328,Rarieda Sub County,0.5858836570241892,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000070,21.760050955124505,Siaya,1354.955211174957,65.68107022174496,21.78865091802582,22.977521590363164,20.413610983989972,1.0,21.460688194785398,Gem Sub County,0.6872773042544545,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000007c,21.63638252261233,Siaya,1257.2314975133545,66.7498661815157,23.863879167434156,22.841698253083813,20.420036385375138,1.0,18.52869948483805,Ugunja Sub County,0.6333058141462518,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000009c,23.286860884772423,Siaya,1197.3269640329625,67.32476196227972,26.743984549651426,24.68068162156703,21.555487843596868,1.0,21.26160696186992,Bondo Sub County,0.614344990633295,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000be,21.75406627011102,Siaya,1235.727823955939,69.05363901587077,23.04704277304768,22.92324423043496,20.570301109187,1.0,19.478611960345653,Ugenya Sub County,0.6383454908920947,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000e6,22.179080983471742,Siaya,1231.7746084142395,69.23253960952631,29.03974110032362,23.42458638123538,20.822972694668525,1.0,19.502298426864993,Alego Usonga Sub County,0.6400619834951461,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000044,25.055840838694117,Siaya,1201.0864409909516,60.0783040039638,30.013801012722208,27.076536187452287,22.507941729281757,2.0,20.394703799266086,Rarieda Sub County,0.4067460200557973,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000070,23.579907990618235,Siaya,1354.955211174957,58.769965246589244,21.78865091802582,26.039434218027512,21.62688564644936,2.0,27.13267411410754,Gem Sub County,0.5494099454408266,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000007c,23.455513419960674,Siaya,1257.2314975133545,59.926900278131825,23.863879167434156,26.074724807055354,21.726844160164617,2.0,25.423626486483062,Ugunja Sub County,0.48036797292319044,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000009c,24.617858102996767,Siaya,1197.3269640329625,63.36766711673049,26.743984549651426,26.748625290171756,22.277112085021624,2.0,18.21630012674214,Bondo Sub County,0.4435965395097164,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000000be,23.422916571817368,Siaya,1235.727823955939,63.06501066484977,23.04704277304768,25.966010438765196,21.73155757014853,2.0,24.588495143934562,Ugenya Sub County,0.4881792791996159,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000000e6,23.814769522889833,Siaya,1231.7746084142395,63.42208384959801,29.03974110032362,26.250044774801427,21.833856875932927,2.0,22.143443094025542,Alego Usonga Sub County,0.4811747200647249,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000044,22.664076431204464,Siaya,1201.0864409909516,76.07813384135385,30.013801012722208,26.32714905625557,20.4404838097967,3.0,254.4669710634712,Rarieda Sub County,0.5156394543740462,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000070,21.236062129477446,Siaya,1354.955211174957,78.4126265415778,21.78865091802582,24.410969087735708,19.182717374465135,3.0,251.31312455272695,Gem Sub County,0.5985133500686827,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000007c,21.14712734566367,Siaya,1257.2314975133545,79.72781941037134,23.863879167434156,24.244037713920836,18.96413259578247,3.0,247.42850186433077,Ugunja Sub County,0.5581855470620743,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000009c,22.415214472840038,Siaya,1197.3269640329625,77.46305994439659,26.743984549651426,25.825220060639364,20.30665711678401,3.0,229.48257945332654,Bondo Sub County,0.52727052363189,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000000be,21.31101037268166,Siaya,1235.727823955939,80.60790889965934,23.04704277304768,24.323085551991408,19.200069326220532,3.0,236.8237753839377,Ugenya Sub County,0.5484134622672497,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000000e6,21.638467065958103,Siaya,1231.7746084142395,79.91283337036317,29.03974110032362,24.682171291956163,19.524779539813906,3.0,225.88413914740508,Alego Usonga Sub County,0.5473552605177991,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000044,22.697481068574202,Siaya,1201.0864409909516,79.01144782677564,30.013801012722208,24.147352491905057,19.896361335230946,4.0,249.9013703683122,Rarieda Sub County,0.6872609614281406,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000070,21.274112899539983,Siaya,1354.955211174957,81.64905994245245,21.78865091802582,22.646152183413495,18.577622900608862,4.0,345.11379639246786,Gem Sub County,0.7121657152668951,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0000000000000000007c,21.20406419302269,Siaya,1257.2314975133545,83.03949421610334,23.863879167434156,22.56413298238161,18.38400798197313,4.0,341.4666618125702,Ugunja Sub County,0.6940844741204644,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0000000000000000009c,22.44091454413727,Siaya,1197.3269640329625,80.51830408742647,26.743984549651426,23.871589271231517,19.760048838066698,4.0,285.2833177651407,Bondo Sub County,0.7199137549788939,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000000000000000000be,21.4145281256604,Siaya,1235.727823955939,83.47014541758624,23.04704277304768,22.719567052483807,18.75793560577714,4.0,357.11267576166216,Ugenya Sub County,0.7002300535610516,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000000000000000000e6,21.697606574476,Siaya,1231.7746084142395,82.93570670213974,29.03974110032362,23.016123748236115,19.110230229563857,4.0,333.59832959661975,Alego Usonga Sub County,0.7032968343042074,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000044,23.591165197802667,Siaya,1201.0864409909514,73.70173593188707,30.013801012722208,24.846789681913588,20.471349924835476,5.0,138.12609078302023,Rarieda Sub County,0.7172182741314624,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000070,21.847564570976836,Siaya,1354.955211174957,77.30911047996624,21.78865091802582,22.927674061993105,19.129856777614922,5.0,244.74725647755182,Gem Sub County,0.7732233429102101,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0000000000000000007c,21.764997708884643,Siaya,1257.2314975133545,78.9201308255548,23.863879167434156,22.836002648234693,18.93779559800325,5.0,284.3317108675577,Ugunja Sub County,0.7614505433781545,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0000000000000000009c,23.3132981336136,Siaya,1197.3269640329625,75.73363526060983,26.743984549651426,24.54222535461768,20.32739617297884,5.0,146.53895815006794,Bondo Sub County,0.731608383140393,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000000000000000000be,22.009473819623828,Siaya,1235.727823955939,79.5045679428392,23.04704277304768,23.10832237953225,19.249863307555174,5.0,283.0566362904633,Ugenya Sub County,0.7654300295596375,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000000000000000000e6,22.367416627436103,Siaya,1231.7746084142395,78.82443290358289,29.03974110032362,23.43598233702962,19.544446071406707,5.0,210.79844473777695,Alego Usonga Sub County,0.7453496540453076,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000044,23.01841943004306,Siaya,1201.0864409909516,75.46765152130999,30.013801012722208,23.87995667201439,21.604474024686432,6.0,116.62733111560094,Rarieda Sub County,0.680344642335909,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000070,21.243775122516816,Siaya,1354.955211174957,79.16262049721503,21.78865091802582,22.1155918291381,19.675335726170132,6.0,204.20262303082896,Gem Sub County,0.7535383055700666,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0000000000000000007c,21.10443261512767,Siaya,1257.2314975133545,80.80699948925984,23.863879167434156,21.855974204742164,19.333114996967705,6.0,223.88987386909545,Ugunja Sub County,0.7457751003868119,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0000000000000000009c,22.7155671592851,Siaya,1197.3269640329625,77.42211334222215,26.743984549651426,23.571771352669842,21.13242515510208,6.0,117.96919955888671,Bondo Sub County,0.6860349618462063,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000000000000000000be,21.321819173788256,Siaya,1235.727823955939,81.6591213318721,23.04704277304768,22.116786753020477,19.552296688796027,6.0,197.3695483815359,Ugenya Sub County,0.740682490967889,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000000000000000000e6,21.726811382128265,Siaya,1231.7746084142395,80.65776678367985,29.03974110032362,22.543662167035638,20.045172621429657,6.0,148.59677811140537,Alego Usonga Sub County,0.7212147747572819,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000044,23.211778621593737,Siaya,1201.0864409909514,69.07265123567817,30.013801012722208,24.52334329427066,21.0866466514802,7.0,34.41188310578826,Rarieda Sub County,0.5807357311710798,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000070,21.170407158552173,Siaya,1354.955211174957,74.73423881465663,21.78865091802582,22.220371378801065,19.05705058771626,7.0,64.0240821804199,Gem Sub County,0.6881620064039317,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0000000000000000007c,20.9706791134626,Siaya,1257.2314975133545,76.71436632254125,23.863879167434156,22.164316415426615,18.6783073354794,7.0,73.91174618062627,Ugunja Sub County,0.6879918557745445,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0000000000000000009c,22.795396904736464,Siaya,1197.3269640329625,72.01219706214117,26.743984549651426,24.044799209944525,20.780168227790774,7.0,29.028869777387616,Bondo Sub County,0.6270703759940716,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_000000000000000000be,21.170908623286437,Siaya,1235.727823955939,77.3373206304758,23.04704277304768,22.341626718009923,18.823729402168563,7.0,60.631132614678535,Ugenya Sub County,0.6759067172380687,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_000000000000000000e6,21.65338654738627,Siaya,1231.7746084142395,76.02668966881154,29.03974110032362,22.821682324027925,19.57503940930409,7.0,39.956427882935216,Alego Usonga Sub County,0.6517373359223296,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000044,24.447615247608244,Siaya,1201.0864409909516,60.922155312768496,30.013801012722208,26.09875767894102,22.92244484062639,8.0,69.20688176324477,Rarieda Sub County,0.5196484581154636,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000070,22.043755061800717,Siaya,1354.955211174957,69.3384338585941,21.78865091802582,23.694456061037815,20.811571547701043,8.0,115.09883552165019,Gem Sub County,0.6483547758624031,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0000000000000000007c,21.87169227992678,Siaya,1257.2314975133545,71.47591669913079,23.863879167434156,23.316138905536725,20.561953198759742,8.0,125.80184331883558,Ugunja Sub County,0.6384711696445017,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0000000000000000009c,23.836465409233945,Siaya,1197.3269640329625,66.28325751582622,26.743984549651426,25.487041509769348,22.339690433051743,8.0,55.414173972777405,Bondo Sub County,0.5656235542714939,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_000000000000000000be,22.08125758606857,Siaya,1235.727823955939,72.29173580014742,23.04704277304768,23.544910030805752,20.717795027540287,8.0,118.94601836098153,Ugenya Sub County,0.6172240197316898,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_000000000000000000e6,22.56705562408439,Siaya,1231.7746084142395,71.1136795730123,29.03974110032362,24.124800970330316,21.265318523958342,8.0,83.19389651668422,Alego Usonga Sub County,0.5817597385113268,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_00000000000000000044,23.576432275511788,Siaya,1201.0864409909516,72.23251779709075,30.013801012722208,25.122165679099968,20.837737991237557,9.0,153.98463645791102,Rarieda Sub County,0.5312760157095104,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_00000000000000000070,21.701712454124895,Siaya,1354.955211174957,76.36158877724304,21.78865091802582,22.735893478934628,19.596248667360193,9.0,209.43610017203991,Gem Sub County,0.6632937972797802,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0000000000000000007c,21.523751767135245,Siaya,1257.2314975133545,78.04537546147678,23.863879167434156,22.722726485352567,19.301782264365226,9.0,209.8942540431466,Ugunja Sub County,0.6736400359182173,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0000000000000000009c,23.175837510544625,Siaya,1197.3269640329625,74.66246837016762,26.743984549651426,24.451063228562866,20.585743479781648,9.0,136.45610351304634,Bondo Sub County,0.5898617036693906,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_000000000000000000be,21.722612831956226,Siaya,1235.727823955939,78.92524363004536,23.04704277304768,22.81407487015883,19.439788311487213,9.0,209.84141894030574,Ugenya Sub County,0.6747571637907075,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_000000000000000000e6,22.16196005913815,Siaya,1231.7746084142395,77.80662906408695,29.03974110032362,23.240735445123207,19.817848928803343,9.0,168.77193896721244,Alego Usonga Sub County,0.6341020644012941,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_00000000000000000044,24.094455940690356,Siaya,1201.0864409909516,71.41012641611329,30.013801012722208,26.083770969771997,21.9601345518799,10.0,168.810412830331,Rarieda Sub County,0.6024367265294204,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_00000000000000000070,22.300743135379893,Siaya,1354.955211174957,76.81131105358817,21.78865091802582,23.618639072433425,20.625718751661356,10.0,263.63071925101303,Gem Sub County,0.7275459457890774,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0000000000000000007c,22.164801372039797,Siaya,1257.2314975133545,78.87103320449121,23.863879167434156,23.40471184027238,20.589001605257053,10.0,279.43552011942035,Ugunja Sub County,0.7240252716890769,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0000000000000000009c,23.73073861372568,Siaya,1197.3269640329625,74.32947258578919,26.743984549651426,25.486501016251722,21.74418544916708,10.0,184.47896438698263,Bondo Sub County,0.6817986791516394,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_000000000000000000be,22.346299765177623,Siaya,1235.727823955939,79.468742405607,23.04704277304768,23.56889153876775,20.72647990437197,10.0,283.4304408601567,Ugenya Sub County,0.7354868990172052,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_000000000000000000e6,22.764065587772087,Siaya,1231.7746084142395,78.18410788934527,29.03974110032362,24.100902939978447,21.08757439657165,10.0,249.29862375437008,Alego Usonga Sub County,0.7035425967637542,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_00000000000000000044,22.49039894132343,Siaya,1201.0864409909516,81.01237005032002,30.013801012722208,23.96158407717461,21.01872164760459,11.0,208.07222561625326,Rarieda Sub County,0.6974303002295987,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_00000000000000000070,21.07343302342083,Siaya,1354.955211174957,84.06688933322077,21.78865091802582,22.147875900891524,19.853993229604722,11.0,251.66303365047028,Gem Sub County,0.7671688248495757,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0000000000000000007c,21.035490668582547,Siaya,1257.2314975133545,85.45923011455672,23.863879167434156,21.91566822144287,19.778179613198823,11.0,232.1528156121236,Ugunja Sub County,0.7647880539694236,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0000000000000000009c,22.287169562079818,Siaya,1197.3269640329625,82.11156376691287,26.743984549651426,23.482851585310957,20.923296176455928,11.0,228.33141224586325,Bondo Sub County,0.7416492979889584,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_000000000000000000be,21.271289898769,Siaya,1235.727823955939,85.66353314569426,23.04704277304768,22.132131640900173,19.930640365752147,11.0,258.3615198979728,Ugenya Sub County,0.7711952995123929,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_000000000000000000e6,21.571105726793654,Siaya,1231.7746084142395,84.72800524565025,29.03974110032362,22.489530893393916,20.238856973427936,11.0,238.0885148178074,Alego Usonga Sub County,0.74554346763754,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_00000000000000000044,23.22086611720224,Siaya,1201.0864409909516,78.93955803349051,30.013801012722208,24.927144201443948,21.350820345331012,12.0,107.60179656808015,Rarieda Sub County,0.6918626917977814,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_00000000000000000070,21.773428143776535,Siaya,1354.955211174957,79.95284116653403,21.78865091802582,23.23144988118679,20.14663867875284,12.0,109.04022806775497,Gem Sub County,0.7505107111072423,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0000000000000000007c,21.74818686315025,Siaya,1257.2314975133545,80.7236602274612,23.863879167434156,23.12108818409512,20.108513667332158,12.0,97.71764706553273,Ugunja Sub County,0.7412088911401733,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0000000000000000009c,22.99783650235834,Siaya,1197.3269640329625,80.09534215760614,26.743984549651426,24.75246252935797,21.1273450216413,12.0,92.3684886060692,Bondo Sub County,0.7302098779729203,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_000000000000000000be,21.937122728229593,Siaya,1235.727823955939,81.94584371544587,23.04704277304768,23.357221359164782,20.275480939634,12.0,100.95441735132488,Ugenya Sub County,0.7375787467471766,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_000000000000000000e6,22.226949133399778,Siaya,1231.7746084142395,81.88369972225966,29.03974110032362,23.69200503566366,20.493122236480147,12.0,89.62809737798935,Alego Usonga Sub County,0.7324413961165044,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
