system:index,Average_Temp,County,Elevation,Humidity,Land_Cover,Max_Temp,Min_Temp,Month,Precipitation,SubCounty,Vegetation_NDVI,Year,.geo
0_00000000000000000044,23.828861438376855,Siaya,1201.0864409909516,68.59451385975339,30.013801012722208,25.093665100097514,21.97569423838955,1.0,67.63571267900718,Rarieda Sub County,0.6065738685350068,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000070,21.98300641617445,Siaya,1354.955211174957,70.56553803160149,21.78865091802582,23.277479720623163,20.62926126752409,1.0,88.2324538545949,Gem Sub County,0.690952495308298,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000007c,21.987135095371755,Siaya,1257.2314975133545,70.97930014043503,23.863879167434156,23.19937917965003,20.71929881860083,1.0,82.93256706620069,Ugunja Sub County,0.6704139602136674,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000009c,23.50447609685734,Siaya,1197.3269640329625,71.01373727969582,26.743984549651426,24.734879228934556,21.88977983958567,1.0,67.63363195898259,Bondo Sub County,0.6292213500535729,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000be,22.189888749383826,Siaya,1235.727823955939,72.44345018758217,23.04704277304768,23.319047203782738,20.979672934815273,1.0,85.07882293373919,Ugenya Sub County,0.680924329855234,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000e6,22.490095746737232,Siaya,1231.7746084142395,73.18656252283652,29.03974110032362,23.542727602381614,21.190596569707242,1.0,78.80346202279598,Alego Usonga Sub County,0.6385211478964403,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000044,25.652420467087815,Siaya,1201.0864409909516,56.11472443374368,30.013801012722208,27.695176680723883,22.8028513205989,2.0,24.611656898769052,Rarieda Sub County,0.4715936572581041,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000070,23.644169517488535,Siaya,1354.955211174957,56.198211241079676,21.78865091802582,25.785355919487866,21.217402422024612,2.0,29.590554723559816,Gem Sub County,0.5954634492232092,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000007c,23.61917073811582,Siaya,1257.2314975133545,56.16624399238079,23.863879167434156,25.820396719812152,21.302001095386075,2.0,26.068317093864035,Ugunja Sub County,0.5942767249953955,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000009c,25.178282090416758,Siaya,1197.3269640329625,59.73366137530922,26.743984549651426,27.127784290529878,22.554746375480022,2.0,16.8941486257238,Bondo Sub County,0.5126871545828537,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000000be,23.70970079518716,Siaya,1235.727823955939,58.72774280044024,23.04704277304768,25.76239505822374,21.523552087288923,2.0,22.987411119215505,Ugenya Sub County,0.6008126380081361,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000000e6,24.067966167159618,Siaya,1231.7746084142395,60.07936199236917,29.03974110032362,26.053186758302665,21.70451319107903,2.0,16.295621857668007,Alego Usonga Sub County,0.5404136925566345,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000044,24.339251628904087,Siaya,1201.0864409909516,69.17573525372124,30.013801012722208,27.77158906105194,21.716158062413193,3.0,152.139788678867,Rarieda Sub County,0.5064493396483313,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000070,22.809444850645846,Siaya,1354.955211174957,70.87909817992931,21.78865091802582,26.26147501753849,20.364161537820372,3.0,187.0074993631754,Gem Sub County,0.6038492077311514,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000007c,22.849376697423327,Siaya,1257.2314975133545,71.5593028315267,23.863879167434156,26.219626630524427,20.35474192430257,3.0,200.118842199688,Ugunja Sub County,0.5941962442438755,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000009c,24.03620791673987,Siaya,1197.3269640329625,71.48872611928347,26.743984549651426,27.28277342116553,21.617272091508415,3.0,149.48625862259536,Bondo Sub County,0.5528753536315882,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
